agent_name,county,residential_holiday,description,displayable_address,latitude,listing_id,listing_status,longitude,new_home,num_bathrooms,num_bedrooms,price,property_type,street_name
Your Move,Southampton,H,"This two bedroom home has all you would ever need for a fantastic retreat away from the hustle and bustle with two bedrooms, family bathroom and fitted kitchen; there is also gas central heating and double glazing. Whether it is used as a holiday home, you really have the best of both worlds. You will also have complete access to the facilities available on site such as the heated outdoor swimming pool, family entertainment, arcade, tennis court and family restaurant and much more. EPC Exempt.LocationYou will find the beautiful family holiday park less than 10 minutes from junction 9 of the M27 in a countryside setting with direct access to the beach. With great facilities and a warm, friendly atmosphere, you will be able to escape everyday life and enjoy relaxing holidays amongst like-minded people. The coastal and countryside walks provide some incredible views over the Solent and it is a great way to keep fit and exercise dogs. Solent Breezes is popular with boat owners too they have their own boat storage facility and with slipway. Described as 'our special place' by the holiday home owners, Solent Breezes is well worth a visit to see for yourself why over 200 families enjoy weekend breaks, holidays and sometimes longer spells at the park.Our ViewThis holiday home is in a prime position located on the park. We would highly recommend an internal viewing to appreciate the accommodation on offer.Lounge / Kitchen Diner 18' 5"" x 11' 10""  (5.61m x 3.61m )Bedroom 8' 5"" x 5' 6""  (2.57m x 1.68m )Master Bedroom 9' 2"" x 10' 1""  (2.79m x 3.07m )Feature Shotimportant note to purchasers:We endeavour to make our sales particulars accurate and reliable, however, they do not constitute or form part of an offer or any contract and none is to be relied upon as statements of representation or fact. The services, systems and appliances listed in this specification have not been tested by us and no guarantee as to their operating ability or efficiency is given. All measurements have been taken as a guide to prospective buyers only, and are not precise. Floor plans where included are not to scale and accuracy is not guaranteed. If you require clarification or further information on any points, please contact us, especially if you are travelling some distance to view. Fixtures and fittings other than those mentioned are to be agreed with the seller.F!","Abi Summer Breeze Hook Lane, Warsash, Southampton SO31",50.832893,36460895,sale,-1.283723,,0,1,45000,,Abi Summer Breeze Hook Lane
Your Move,Southampton,H,"This two bedroom home has all you would ever need for a fantastic retreat away from the hustle and bustle, with two bedrooms, family bathroom and fitted kitchen, there is also gas central heating and double glazing. Whether it is used as a holiday home or a possible holiday let, you really have the best of both worlds. You will also have complete access to the facilities available on site such as the heated outdoor swimming pool, family entertainment, arcade, tennis court and family restaurant and much more. EPC exempt.LocationYou will find the beautiful family holiday park less than 10 minutes from junction 9 of the M27 in a countryside setting with direct access to the beach. With great facilities and a warm, friendly atmosphere, you will be able to escape everyday life and enjoy relaxing holidays amongst like-minded people. The coastal and countryside walks provide some incredible views over the Solent.Our ViewSolent Breezes is popular with boat owners, they have their own boat storage facility and with slipway. Described as 'our special place' by the holiday home owners, Solent Breezes is well worth a visit to see for yourself why over 200 families enjoy weekend breaks, holidays and sometimes longer spells at the park.Lounge / Kitchen / Dining Room 17' 11"" x 11' 7""  (5.46m x 3.53m )Master Bedroom 11' 7"" x 10' 2"" L Shape 7' 9"" x 0' 0""  (3.53m x 3.1m L Shape 2.36m x 0m )Bedroom 9' 5"" x 6' 3""  (2.87m x 1.91m )important note to purchasers:We endeavour to make our sales particulars accurate and reliable, however, they do not constitute or form part of an offer or any contract and none is to be relied upon as statements of representation or fact. The services, systems and appliances listed in this specification have not been tested by us and no guarantee as to their operating ability or efficiency is given. All measurements have been taken as a guide to prospective buyers only, and are not precise. Floor plans where included are not to scale and accuracy is not guaranteed. If you require clarification or further information on any points, please contact us, especially if you are travelling some distance to view. Fixtures and fittings other than those mentioned are to be agreed with the seller.F!","Abi Sunningdale Hook Lane, Warsash, Southampton SO31",50.832893,37301669,sale,-1.283723,True,0,2,59995,,Abi Sunningdale Hook Lane
Your Move,West Sussex,R,"A new double Park Home in the village of Aldingbourne. Accommodation comprises two double bedrooms; one of which has an en-suite dressing room and en-suite shower/wc, there is also a good size dual aspect living room, separate dining room, modern fitted kitchen with fitted appliances and bathroom/W.C. Outside there are gardens and a driveway. EPC exempt.LocationThe Park Home is located on the Aldingbourne Park development in Aldingbourne which is approximately 3.1 miles North of Bognor Regis and 4 miles East of Chichester. There are various convenience stores located nearby. The village of Barnham is within access to the West and offers more comprehensive shopping facilities as well as a mainline train station.Our ViewOne of the more spacious Park Homes located on the development which a buyer can simply move straight in and enjoy. We understand from the seller that the property comes with furnishings to compliment the property and the sight itself is located on a popular residential road.Lounge 16' 4"" x 11' 0""  (4.98m x 3.35m )Dining Area 8' 10"" x 8' 3""  (2.69m x 2.51m )Kitchen 7' 11"" x 11' 4""  (2.4m x 3.45m )Bedroom 9' 5"" x 8' 9""  (2.86m x 2.66m )Bedroom 10' 1"" x 9' 4""  (3.08m x 2.83m )DirectionsProceed out of Bognor in a Northerly direction and take the A29 heading towards Shripney. Continue on this road pass the train station level crossing. At Aldingbourne turn left into Hook Lane and Beechfield Park development can be found on the left hand side.Important note to purchasers:We endeavour to make our sales particulars accurate and reliable, however, they do not constitute or form part of an offer or any contract and none is to be relied upon as statements of representation or fact. The services, systems and appliances listed in this specification have not been tested by us and no guarantee as to their operating ability or efficiency is given. All measurements have been taken as a guide to prospective buyers only, and are not precise. Floor plans where included are not to scale and accuracy is not guaranteed. If you require clarification or further information on any points, please contact us, especially if you are travelling some distance to view. Fixtures and fittings other than those mentioned are to be agreed with the seller.F!","Aldingbourne Park, Aldingbourne, Chichester PO20",50.83148,36460901,sale,-0.673907,True,0,2,185000,Bungalow,Aldingbourne Park
King & Chasemore - North Bersted,West Sussex,R,"**guide price £90, 000 to £100, 000**King and Chasemore are pleased to offer to the market this three bedroom park home on a private development. The property has a large open plan lounge and dining area, great size kitchen, generous size shower room and three very good size bedrooms. This home will be sold with new carpets throughout and fully redecorated. Please call us today for further information.• Private development• Three bedrooms• Large lounge and dining area• Driveway• Newly carpeted• Fully redecorated• Great size throughout","Aldingbourne Park, Hook Lane, Aldingbourne, Chichester PO20",50.8314,37069678,sale,-0.672801,,0,3,90000,Detached house,Hook Lane Aldingbourne Chichester
Glyn Jones,West Sussex,R,"Living room 19' 4"" x 11' 5"" (5.89m x 3.48m)  dining room 9' 11"" x 8' 2"" (3.02m x 2.49m)  kitchen 12' 11"" x 9' 4"" (3.94m x 2.84m)  bedroom one 10' 9"" x 9' 5"" (3.28m x 2.87m)  BEDRO0OM two 9' 10"" x 9' 5"" (3m x 2.87m)  bathroom 6' 6"" x 5' 5"" (1.98m x 1.65m)  ","Aldingbourne Park, Hook Lane, Aldingbourne, Chichester PO20",50.8314,36506285,sale,-0.672801,,1,2,49950,Mobile/park home,Aldingbourne
Normans,West Sussex,H,"A smart and stylish two bedroom park home being only two years old and offered for sale with the remainder of 18 years on the lease. The property benefits from newly installed modern UPVC style decking with glass panelled surround and upvc railings and viewing is highly recommended by the vendors sole agents to appreciate the accommodation on offer.The vendor advises us that there is no Council Tax and no Water Rates to pay as the owner is only able to occupy the Park Home for 50 weeks of the year so it is not classed as ""Residential"". The owner would have to find alternative residential address from the 12th to the 26th January along with an alternative address for postal mail.We would advise all prospective purchasers to verify any information with the Site Office prior to signing any legal agreement.The Park Home is situated at the Lakeside Holiday Village which has a Convenience Store, Club House, Café, Heated Swimming Pool, Laundrette and Fishing Lakes. Chichester City is in close proximity with its range of shop of shopping facilities and leisure pursuits. (Please note that the post code on the sales particulars is for Lakeside Holiday Park itself and not specifically for Aldwick Close.)Ground Floorentrance The Park Home is approached by stairs to a decked area of recent construction with uPVC decking enclosed by glass panelling and upvc railings.Living area/kitchen 21'1"" x 11'9"". Lovely spacious room with the benefit of floor to ceiling sliding doors onto the decking which provides an open and airy feel to the living accommodation. The quality of the finish is to a high standard with vynolay wood effect flooring and inset spotlights, T.V. Point and wall mounting for a flat screen T.V. And a cosy corner sofa which the Vendor advises is included in the sale. The Kitchen area is very well equipped with integrated appliances and room enough to seat four people around a dining table. The modern high gloss units are complemented by roll edged work surfaces, stainless steel sink unit, gas four ring cooker with electric oven with a glass splash back and a stainless steel cooker hood. A further window and skylight provides lots of natural light.Inner hall From the Living/Kitchen area there is an Inner Hall that has a heating thermostat and doors to -bedroom 1 12'3"" x 11'5. This room is a particularly good size for a Park Home and has the benefit of its own en suite w.C. There are fitted cupboards and units and a fitted mirror and dressing table areabedroom 2 7'8"" x 5'7"" and has twin beds, additional storage and a T.V. Aerial point.Shower room The shower Room has a white suite with an extra width mains shower unit and white sanitary ware.Exteriorgarden The Park Home has a small amount of garden to front and sides and there is parking suitable for up to three cars. The decking is newly installed and is the perfect place for entertaining and making the most of the sunshine.","Aldwick Close, Lakeside Holiday Park, Vinnetrow Road, Runcton, Chichester PO20",50.82343,37552410,sale,-0.750576,,0,2,52000,Mobile/park home,Lakeside Holiday Park
Connells,Devon,R,"Summary""stunning two bedroom park home on popular site"" This property briefly comprises a kitchen diner, lounge / dining room, two bedrooms, bathroom and outside space. The property benefits from ample parking and the option of buying to include all furniture should a fair offer be made.DescriptionThis is a stunning two bedroom park home located on a very popular site. The property benefits from ample parking, a large lounge / dining room, kitchen / diner, lovely views across the city and an outside patio area. The vendor is willing to sell the property to include all furniture at the right price.Entrance uPVC double glazed entrance door giving access to:Kitchen 18' 3"" x 7' 1"" ( 5.56m x 2.16m )A range of matching wall and base mounted kitchen units and roll top work surfaces, integral electric cooker, integral electric hob, cooker hood and extractor fan over, space for fridge freezer, space for washing machine, sink with drainer and mixer tap over, uPVC double glazed projected bow window to front aspect, uPVC double glazed window to side aspect, laminate flooring, wall mounted night storage heater, access through to:Lounge / Dining Room 20' 8"" x 11' 6"" max ( 6.30m x 3.51m max )uPVC double glazed projected bow window to the front aspect, uPVC double glazed window to the side aspect, uPVC double glazed door giving access onto patio area, wall mounted night storage heater, carpeted, two matching wall lights, access through to small hallway which gives access to bedroom one, bedroom two and bathroom and features the immersion tank and a storage cupboard which houses the fuse box.Bedroom 1 12' x 9' 3"" max ( 3.66m x 2.82m max )Two uPVC double glazed windows to the front aspect, large built in wardrobe, wall mounted night storage heater, carpeted.Bedroom 2 9' 3"" x 8' 9"" ( 2.82m x 2.67m )uPVC double glazed windows to the rear and side aspects, carpeted.Bathroom Vinyl flooring, uPVC window to rear aspect, double walk in shower cubicle, low level WC, pedestal wash hand basin, vanity unit. Airing cupboard with storage and shelving.Outside Raised patio areas to the front and sides of the property, gravelled area and mature hedges surrounding. To one side of the property there is a further enclosed patio area which is ideally suited for alfresco dining. The front of the property mainly consists of laid lawn, gravel and mature bushes.Parking Ample parking is available on the site.1. Money laundering regulations - Intending purchasers will be asked to produce identification documentation at a later stage and we would ask for your co-operation in order that there will be no delay in agreeing the sale.2. These particulars do not constitute part or all of an offer or contract.3. The measurements indicated are supplied for guidance only and as such must be considered incorrect.4. Potential buyers are advised to recheck the measurements before committing to any expense.5. Connells has not tested any apparatus, equipment, fixtures, fittings or services and it is the buyers interests to check the working condition of any appliances.6. Connells has not sought to verify the legal title of the property and the buyers must obtain verification from their solicitor.","Alexander Walk, Ringswell Park, Exeter EX2",50.722034,35927513,sale,-3.480005,,0,2,95000,Mobile/park home,Alexander Walk Ringswell Park Exeter
Leaders - Southampton,Southampton,R,"Offered for sale with no forward chain is this well presented, two bedroom park home in the much requested location of West End close to the village centre and local amenities. The property briefly comprises: Entrance hall, fitted kitchen, lounge, one double bedroom and one single bedroom, and shower room. The property also benefits from an allocated parking space. This property is set in a tranquil area, with woods close by. Sure to attract a lot of interest, an early viewing is essential to avoid disappointment.UPVC door intoEntrance HallKitchen 2.952 x 3.545 (9'8' x 11'7')Skimmed ceiling, double glazed window to front and rear elevation, wall and base/drawer units with roll top work surface over, inset stainless steel sink with mixer tap over, part tiled walls, free-standing oven with gas hob, radiator vinyl floor, and gas boiler houses within kitchen unitsLounge 2.952 x 3.545 (9'8' x 11'7')Skimmed ceiling, double glazed window to front elevation, side door access, radiatorShower RoomSkimmed ceiling, tiled walls, WC, wall mounted basin, free-standing double shower, window to side elevation, vinyl floorBedroom 2.056 x 2.615 (6'8' x 8'6')Skimmed ceiling, double-glazed window to side elevation, built in cupboards with shelving space, radiatorBedroom 2.969 x 2.131 (9'8' x 6'11')Skimmed ceiling, double-glazed window to rear elevation, built in cupboards with shelving space, radiatorLeasehold (eal)Ground rent and service charges may apply to this property.Disclaimer (eal)These particulars are believed to be correct and have been verified by or on behalf of the Vendor. However any interested party will satisfy themselves as to their accuracy and as to any other matter regarding the Property or its location or proximity to other features or facilities which is of specific importance to them. Distances and areas are only approximate and unless otherwise stated fixtures contents and fittings are not included in the sale. Prospective purchasers are always advised to commission a full inspection and structural survey of the Property before deciding to proceed with a purchase.","Allington Lane, West End, Southampton SO30",50.939415,37358655,sale,-1.339302,,1,2,72500,,Allington Lane
EweMove,Southampton,R,"Two bedrooms, a living room, a lovely kitchen situated in the heart of the home, with ample space to practice your culinary skills, but that's not all there is also a utility room. The bathroom, not only has a bath, basin, toilet but a shower unit as well. Love to Garden well this home offers your own greenhouse where you can spend endless hours nurturing those seedlings and with a garden shed and a store room as well, there is more than enough space to store all your goodies. But wait there is still more! How would you like a decked patio where you can sit and soak up the sun and entertain your guests? Or perhaps you are the active type and love to walk or cycle, or take the kids for a fun day out...Can you believe it this home is perfectly situated within walking distance to the Itchen Valley Country Park, so you wouldn't need to take the car if you didn't want to! You could just leave it parked on your drive at the front of your home. Don't take my word, call me now and come see for yourself. Please note that no pets are allowed.This home includes:Bedroom2.98m x 2.29m (6.8 sqm) - 9' 9"" x 7' 6"" (73 sqft)The main bedroom has laminated floors, double glazed windows which overlook the front, a radiator, plus two built in wardrobes with shelving in between. This room leads toHallway1.23m x 1.02m (1.2 sqm) - 4' x 3' 4"" (13 sqft)A hallway with an in built dressing table, partially tiled with window leads through to the bathroomBathroom2.52m x 1.91m (4.8 sqm) - 8' 3"" x 6' 3"" (51 sqft)Bathroom with a sliding door, vinyl flooring and 2 double glazed windows facing the side of the property with a radiator situated beneath the window near the bath. The bathroom consists of a bath, basin, toilet and separate shower unit measuring 0.8 x 0.8. Partially tilled around the bath, with a mirrored cabinet above the basin. There is a door through to a hallwayHallway1.84m x 0.98m (1.8 sqm) - 6' x 3' 2"" (19 sqft)The hallway has laminate flooring and leads to the kitchen.Kitchen3.76m x 2.97m (11.1 sqm) - 12' 4"" x 9' 8"" (120 sqft)The kitchen has laminate floors, and ample cupboard space with a floor to ceiling pantry cupboard. There is a single sink bowl and a freestanding gas stove. The Worcester boiler is situated in the corner of the kitchen. The double glazed windows facing the sides of the property have roller blinds with shelving above, another double glazed window opposite facing the other side of the property. The kitchen leads through the Living roomLiving Room3.8m x 2.97m (11.2 sqm) - 12' 5"" x 9' 8"" (121 sqft)The living room has laminate floors with a double glazed windows both rear and side facing, a radiator. Plus a cupboard in the corner.The living room leads through a sliding door to the 2nd BedroomBedroom 22.98m x 1.84m (5.4 sqm) - 9' 9"" x 6' (59 sqft)2nd Bedroom has laminate flooring, double glazed windows and a radiator. This room also has a double glazed external door leading out to the decked patio.Utility Room2.97m x 1.34m (3.9 sqm) - 9' 8"" x 4' 4"" (42 sqft)The utility room leads off the kitchen, it has vinyl flooring with double glazed windows, plus plumbing for a washing machine. The utility room is essentially the entrance to the home and accessed via a front covered porch.Porch1.42m x 0.63m (0.8 sqm) - 4' 7"" x 2' (9 sqft)Undercover porch area leads to utility room. The roof cover extends outside along the side of the property to towards the greenhouse creating a lovely covered area.GreenhouseSituated in the garden on the side.ShedWooden shed situated at the back of the homeStoreOutside store room at the back of the home.DeckingRaised open deck patio, with access to the home via the 2nd bedroom.Please note, all dimensions are approximate / maximums and should not be relied upon for the purposes of floor coverings.The property his held subject to the terms and conditions of an assignment which commenced on the 17th December 1983.The current annual charges apply:1. Ground Rent £181.47 per month","Allington Lane, West End, Southampton SO30",50.939415,36084952,sale,-1.339302,,1,2,72000,Mobile/park home,Allington Lane West End
Philip Prado,Hampshire,R,"The Property:They say the best things come in small packages and this brand new park home is certainly that. Well thought out, plenty of features and finished to an extremely high standard to create comfortable, relaxed living with a touch of luxury, it packs a mean punch.The kitchen/dining room has a lovely open plan feel about it. The contemporary fitted kitchen has everything to meet your everyday needs with plenty of storage and integrated appliances – microwave, oven, hob, washing machine, fridge freezer and dishwasher. Through to the living room which is lovely and light thanks to two large bay windows and double doors to the rear out on to the veranda whilst the electric fire with surround provides a focal point as well as somewhere to cosy up in front of in the evenings. The main bathroom is fully tiled and comes complete with thermostatic shower, hand basin with vanity unit, WC, heated towel rail, wall mounted cupboard and laminate flooring. The master bedroom is positively opulent with it’s walk in wardrobe and en-suite shower room whilst the second bedroom is a good sized double with fitted wardobes.Outside there is a lawned garden to the front with security lights, water tap and electric point whilst a block paved path leads you to the private rear garden boasting beautiful views across the Hampshire countryside. A driveway to the side provides parking for two cars.The LocationThe park home is situated on Wykeham Park, a long established and prestigious park home site on the outskirts of Winchester, just two miles away.Within a short drive or bus ride you are in Winchester City Centre with all the local amenities, shops, restaurants and leisure activities you will need.The Finer Details:Kitchen/Dining Room : 15’4” x 19’2” / 4.69m x 5.85mSitting Room: 19’2” x 11’3” / 5.86m x 3.44m maxBedroom One: 8’7” x 9’4” / 2.64m x 2.87mBedroom Two: 9’4” x 7’5” / 2.85m x 2.28m","Alresford Road, Winchester SO21",51.060722,37504348,sale,-1.265599,,1,2,187500,Mobile/park home,Alresford Road
